Глубина манометра;Dшт;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Ro_c;Удельная плотность газа ;G_total;КГФ
3440.0;7.94;228.46;92.59;164.0;229.1;92.64;42.0;24.8;105.11;25.81;33.63;0.24;154.29;44.2;29.17;56.1;;90.4;770.1;0.57;;178.00000000000003
3440.0;7.94;228.1;92.63;163.0;231.4;94.15;43.0;26.6;105.11;26.24;33.85;0.24;153.39;44.2;29.17;56.1;;90.7;770.1;0.57;;180.0
3277.8;6.35;382.5;101.9;288.78;378.6;104.1;58.0;;106.2;25.9;48.3;0.8;178.86;44.5;40.35;53.9;52.7;101.5;781.0;0.67;;223.99999999999997
3277.8;9.53;373.7;103.8;282.7;379.6;103.5;39.0;;106.4;40.1;89.8;3.2;373.32;44.5;40.35;53.9;52.7;101.5;787.0;0.67;;198.99999999999997
3277.8;11.11;365.7;103.6;271.55;372.7;102.9;45.3;;106.47;46.1;117.3;0.6;485.34;44.5;40.35;53.9;52.7;103.2;790.0;0.67;;201.0
3277.8;12.7;354.5;104.1;254.33;364.1;103.8;50.3;;106.4;50.5;138.4;1.6;598.49;44.5;40.35;53.9;52.7;102.7;787.0;0.67;;191.0
3277.8;14.3;345.9;105.8;239.13;354.6;104.0;53.5;;106.7;54.0;158.0;1.8;681.69;44.5;40.35;53.9;52.7;103.1;787.0;0.67;;192.0
3276.0;7.5;370.04;95.0;268.0;370.1;95.4;56.0;28.6;104.98;30.4;69.9;1.2;261.47;44.5;39.44;48.3;45.6;94.3;785.0;0.67;;222.0
3276.0;9.53;364.68;94.9;262.0;364.6;94.9;62.0;36.3;105.18;37.5;94.4;1.4;370.16;44.5;39.44;48.3;45.6;93.5;785.0;0.67;;212.0
3276.0;11.11;357.12;97.0;252.0;357.0;96.9;66.0;42.8;105.24;43.7;117.6;1.4;477.12;44.5;39.44;48.3;45.6;95.3;785.0;0.67;;204.0
3276.0;12.7;347.44;95.7;238.0;347.5;95.8;70.0;47.5;105.23;47.9;142.0;2.1;592.39;44.5;39.44;48.3;45.6;94.2;785.0;0.67;;198.0
3276.0;14.3;337.88;99.8;220.0;337.7;99.3;70.0;51.8;105.16;52.1;154.7;2.3;686.15;44.5;39.44;48.3;45.6;98.5;785.0;0.67;;186.00000000000003
3284.0;7.94;335.2;88.7;241.0;335.5;89.0;51.0;27.0;104.68;27.2;55.4;1.1;226.54;44.5;35.28;40.5;41.6;89.7;782.0;0.66;;201.0
3284.0;9.53;328.1;91.2;240.0;328.4;91.4;59.1;34.9;104.84;35.7;72.7;1.9;325.43;44.5;35.28;40.5;41.6;88.9;782.0;0.66;;182.0
3284.0;11.11;318.0;98.0;228.0;318.3;98.9;63.3;41.4;104.85;42.5;86.3;3.5;424.74;44.5;35.28;40.5;41.6;91.0;782.0;0.66;;165.0
3284.0;12.7;307.8;98.6;215.0;308.1;97.2;65.0;45.8;104.78;46.3;93.5;4.7;495.63;44.5;35.28;40.5;41.6;94.4;782.0;0.66;;153.0
3284.0;14.29;293.6;98.5;197.0;293.9;98.4;66.9;49.8;104.63;50.5;106.6;6.4;587.36;44.5;35.28;40.5;41.6;94.0;782.0;0.66;;147.0
3288.6;7.94;309.1;92.6;230.0;307.1;92.7;51.0;;104.4;28.1;50.5;0.45;224.86;48.37;33.21;;;89.9;779.6;0.67;;182.0
3288.6;11.11;293.9;93.1;215.0;293.9;93.3;60.0;;104.6;41.3;72.0;1.5;403.75;48.37;33.21;;;90.8;779.6;0.67;;145.0
3289.8;9.53;271.0;95.95;199.0;272.3;94.64;56.0;;103.9;36.16;47.6;1.0;274.94;48.4;;39.9;;94.0;772.6;0.67;;139.0
